date,close
1/2/2015,26.4775
1/5/2015,25.973
1/6/2015,25.332
1/7/2015,25.2575
1/8/2015,25.3455
1/9/2015,25.036
1/12/2015,24.853
1/13/2015,25.09
1/14/2015,25.2965
1/15/2015,25.2005
1/16/2015,25.5228
1/20/2015,25.497
1/21/2015,26.0195
1/22/2015,26.865
1/23/2015,27.0975
1/26/2015,26.836
1/27/2015,26.0595
1/28/2015,25.6215
1/29/2015,25.6615
1/30/2015,26.8775
2/2/2015,26.61
2/3/2015,26.665
2/4/2015,26.305
2/5/2015,26.4915
2/6/2015,26.6938
2/9/2015,26.464
2/10/2015,27.008
2/11/2015,26.9
2/12/2015,27.3005
2/13/2015,27.558
2/17/2015,27.2505
2/18/2015,27.1325
2/19/2015,27.3225
2/20/2015,27.09
2/23/2015,26.75
2/24/2015,26.9325
2/25/2015,27.3665
2/26/2015,27.9645
2/27/2015,28.1315
3/2/2015,28.751
3/3/2015,28.9398
3/4/2015,28.9165
3/5/2015,29.0718
3/6/2015,28.645
3/9/2015,28.705
3/10/2015,27.9925
3/11/2015,27.7845
3/12/2015,28.0585
3/13/2015,27.65
3/16/2015,28.082
3/17/2015,27.8805
3/18/2015,28.308
3/19/2015,28.1835
3/20/2015,28.2475
3/23/2015,28.2685
3/24/2015,28.877
3/25/2015,28.35
3/26/2015,28.182
3/27/2015,27.8775
3/30/2015,28.0568
3/31/2015,27.735
4/1/2015,27.4745
4/2/2015,27.0655
4/6/2015,27.1975
4/7/2015,27.243
4/8/2015,27.442
4/9/2015,27.401
4/10/2015,27.427
4/13/2015,27.432
4/14/2015,26.989
4/15/2015,27.052
4/16/2015,27.176
4/17/2015,26.637
4/20/2015,27.2265
4/21/2015,27.1463
4/22/2015,27.459
4/23/2015,27.873
4/24/2015,28.683
4/27/2015,28.306
4/28/2015,28.2185
4/29/2015,28.0695
4/30/2015,27.4385
5/1/2015,27.558
5/4/2015,27.642
5/5/2015,27.1523
5/6/2015,26.754
5/7/2015,27.102
5/8/2015,27.4475
5/11/2015,27.289
5/12/2015,26.9365
5/13/2015,26.9745
5/14/2015,27.46
5/15/2015,27.3245
5/18/2015,27.3335
5/19/2015,27.464
5/20/2015,27.6255
5/21/2015,27.8405
5/22/2015,27.726
5/26/2015,27.3595
5/27/2015,27.7125
5/28/2015,27.709
5/29/2015,27.266
6/1/2015,27.4605
6/2/2015,27.6975
6/3/2015,27.7645
6/4/2015,27.5845
6/5/2015,27.4765
6/8/2015,27.174
6/9/2015,27.108
6/10/2015,27.63
6/11/2015,27.502
6/12/2015,27.3735
6/15/2015,27.15
6/16/2015,27.2435
6/17/2015,27.33
6/18/2015,27.809
6/19/2015,27.876
6/22/2015,27.984
6/23/2015,28.1695
6/24/2015,27.9285
6/25/2015,27.8975
6/26/2015,27.653
6/29/2015,27.0625
6/30/2015,27.002
7/1/2015,27.165
7/2/2015,27.367
7/6/2015,27.281
7/7/2015,27.5015
7/8/2015,27.085
7/9/2015,27.2325
7/10/2015,27.8055
7/13/2015,28.5865
7/14/2015,29.209
7/15/2015,29.198
7/16/2015,30.089
7/17/2015,34.981
7/20/2015,34.642
7/21/2015,34.7675
7/22/2015,34.755
7/23/2015,33.7365
7/24/2015,32.7385
7/27/2015,32.9135
7/28/2015,32.983
7/29/2015,33.0715
7/30/2015,33.228
7/31/2015,32.875
8/3/2015,33.236
8/4/2015,33.064
8/5/2015,33.6645
8/6/2015,33.5075
8/7/2015,33.2195
8/10/2015,33.157
8/11/2015,34.515
8/12/2015,34.5735
8/13/2015,34.3255
8/14/2015,34.4685
8/17/2015,34.7055
8/18/2015,34.4365
8/19/2015,34.702
8/20/2015,33.974
8/21/2015,32.2015
8/24/2015,30.9055
8/25/2015,30.6235
8/26/2015,32.987
8/27/2015,33.398
8/28/2015,32.9845
8/31/2015,32.391
9/1/2015,31.478
9/2/2015,32.2455
9/3/2015,31.8525
9/4/2015,31.448
9/8/2015,32.194
9/9/2015,32.1705
9/10/2015,32.554
9/11/2015,32.765
9/14/2015,32.6235
9/15/2015,33.2535
9/16/2015,33.276
9/17/2015,33.5835
9/18/2015,33.046
9/21/2015,33.349
9/22/2015,32.66
9/23/2015,32.6645
9/24/2015,32.7455
9/25/2015,32.0075
9/28/2015,31.2125
9/29/2015,31.1305
9/30/2015,31.86
10/1/2015,32.1
10/2/2015,32.8495
10/5/2015,33.584
10/6/2015,33.582
10/7/2015,33.5
10/8/2015,33.35
10/9/2015,33.562
10/12/2015,33.8215
10/13/2015,34.1585
10/14/2015,34.0205
10/15/2015,34.651
10/16/2015,34.766
10/19/2015,34.9975
10/20/2015,34
10/21/2015,33.59
10/22/2015,34.057
10/23/2015,35.9665
10/26/2015,36.556
10/27/2015,36.641
10/28/2015,36.846
10/29/2015,37.2425
10/30/2015,36.8695
11/2/2015,37.387
11/3/2015,37.441
11/4/2015,37.7655
11/5/2015,38.0335
11/6/2015,38.08
11/9/2015,37.7385
11/10/2015,37.913
11/11/2015,38.2625
11/12/2015,37.8265
11/13/2015,37.0035
11/16/2015,37.521
11/17/2015,37.299
11/18/2015,38.0005
11/19/2015,37.997
11/20/2015,38.85
11/23/2015,38.835
11/24/2015,38.4815
11/25/2015,38.463
11/27/2015,38.5985
11/30/2015,38.1425
12/1/2015,39.1895
12/2/2015,38.8925
12/3/2015,38.41
12/4/2015,38.9605
12/7/2015,38.6495
12/8/2015,38.757
12/9/2015,38.1275
12/10/2015,38.002
12/11/2015,37.521
12/14/2015,38.127
12/15/2015,38.0045
12/16/2015,38.8295
12/17/2015,38.4915
12/18/2015,37.8425
12/21/2015,38.04
12/22/2015,38.3565
12/23/2015,38.4255
12/24/2015,38.292
12/28/2015,39.112
12/29/2015,39.698
12/30/2015,39.515
12/31/2015,38.9005
